Geographic Location,city_lat,city_lon,ann_rain_inch,ann_snow_inch,min_jan,min_feb,min_mar,min_apr,min_may,min_jun,min_jul,min_aug,min_sep,min_oct,min_nov,min_dec,max_jan,max_feb,max_mar,max_apr,max_may,max_jun,max_jul,max_aug,max_sep,max_oct,max_nov,max_dec
"Monticello, IA",42.2382752,-91.1869428,37.84,3.69,47.4,48.3,50.2,52.8,57.0,60.5,64.3,64.7,63.1,58.1,51.8,46.5,70.7,71.5,73.6,77.8,79.7,83.3,88.7,90.0,87.7,82.4,76.1,71.2
"Ashland, VA",37.7594012,-77.4806603,45.3,1.1,27.0,29.2,35.9,45.0,54.2,63.3,67.5,66.3,59.0,47.2,38.0,29.8,45.6,50.1,59.3,70.1,76.1,83.5,86.7,85.1,78.8,68.3,59.1,48.4
"Manasquan, NJ",40.126226,-74.049304,46.87,0.0,23.9,26.2,32.7,41.3,50.5,60.7,66.1,65.2,58.0,46.4,38.3,29.2,41.2,43.2,49.5,58.7,68.1,77.8,82.7,81.3,75.7,65.6,56.1,46.3
"Altavista, VA",37.1118094,-79.285579,45.02,1.07,28.2,30.3,37.8,45.8,55.1,63.8,68.0,66.8,58.7,47.1,38.5,30.1,47.8,51.6,61.1,70.3,78.2,87.0,89.1,87.4,81.0,70.6,61.3,50.3
"Hamilton, GA",32.7579107,-84.8749311,49.62,0.07,33.4,36.3,41.6,48.8,57.7,66.5,69.7,69.5,64.5,52.6,43.4,35.7,57.6,62.1,69.4,75.8,82.5,88.1,90.9,91.4,86.5,78.1,68.3,59.9
"Nyack, NY",41.091121,-73.9196794,51.98,2.5,11.1,12.2,19.9,30.7,40.5,49.5,55.0,53.0,45.9,35.0,25.6,16.5,28.7,32.6,41.0,53.8,63.1,72.1,75.9,74.4,67.3,55.2,44.3,33.1
"Mount Pleasant, NC",35.399308,-80.4358963,48.76,0.11,28.5,31.2,38.2,46.3,55.6,65.0,69.0,67.9,60.3,48.0,38.5,30.9,51.6,55.9,64.0,73.3,80.4,87.8,90.8,89.3,83.0,73.4,64.1,54.2
"Wilton, CT",41.1953739,-73.4378988,47.74,0.0,19.2,21.8,28.6,38.9,48.4,58.5,63.4,61.8,53.4,41.8,33.6,24.6,35.6,39.6,48.7,61.0,71.9,80.8,84.9,82.5,74.5,62.7,51.3,39.9
"Seymour, WI",44.514988,-88.3303798,31.08,5.3,8.3,11.9,22.2,34.6,44.8,54.7,59.6,57.8,48.9,38.7,27.4,14.6,25.1,29.4,40.3,54.5,66.9,76.3,80.7,78.6,70.7,57.4,42.5,29.1
"Richfield, WI",43.256116,-88.1939819,34.5,4.27,10.6,13.8,23.6,34.6,44.2,53.7,58.7,57.4,49.2,37.9,28.0,15.7,27.0,31.1,41.7,55.1,66.3,76.4,80.6,78.9,71.7,59.0,45.2,31.4
"Brown Deer, WI",43.1744352,-87.972722,34.89,4.27,13.7,17.0,26.1,37.2,47.6,57.7,63.4,62.1,53.0,41.3,30.2,18.8,29.6,33.9,44.8,57.5,68.7,79.3,83.8,81.4,73.8,60.8,46.8,33.8
"Guttenberg, IA",42.7858231,-91.0995735,36.3,3.37,11.0,15.7,27.7,40.1,50.8,60.4,64.7,62.9,54.0,42.1,29.9,16.4,28.0,33.6,45.5,60.0,71.0,80.2,84.1,81.8,74.2,61.3,45.7,31.4
"Golf, IL",42.0570448,-87.7899876,37.75,3.49,17.7,21.3,29.1,39.3,48.9,58.8,64.7,64.2,55.9,44.0,33.4,21.9,32.1,36.4,46.9,58.9,69.8,79.1,83.4,82.2,75.1,62.7,49.1,36.1
"Eunice, LA",30.4943669,-92.4176324,61.07,0,39.7,43.6,50.3,56.9,65.8,71.7,73.7,73.2,67.8,57.5,49.5,41.8,61.5,65.3,72.6,79.7,86.8,91.8,93.9,94.5,90.3,82.0,72.5,63.8
"Burkeville, TX",30.9999178,-93.6679539,61.74,0,36.9,40.8,47.3,54.1,63.4,69.9,71.8,71.7,66.8,56.6,47.1,39.4,58.5,62.5,69.9,77.1,83.9,89.2,91.9,92.9,88.0,79.7,69.4,60.1
"Tylertown, MS",31.1160119,-90.1420331,61.97,0,36.1,39.1,45.5,52.5,61.5,67.8,70.4,70.3,65.1,54.2,45.7,38.4,60.5,64.0,70.9,77.4,84.7,90.1,92.0,92.3,88.2,80.1,70.9,62.2
"Marksville, LA",31.1279652,-92.0662356,59.36,0.03,38.7,42.3,48.9,55.8,64.3,70.4,72.6,71.7,65.6,55.5,47.6,40.6,59.0,62.8,70.4,77.8,85.0,90.1,92.2,92.7,88.0,79.8,70.1,61.1
"Hartwell, GA",34.3528825,-82.932087,48.59,0.0,15.5,16.3,22.7,33.8,43.4,53.4,57.7,57.0,49.1,38.5,29.8,21.0,29.1,31.6,41.2,54.2,65.9,75.2,79.3,77.5,70.1,57.5,45.1,33.3
"Sulphur Springs, TX",33.1384886,-95.6010143,44.8,0.1,32.9,36.4,44.1,51.6,61.1,68.9,72.4,71.6,63.7,52.7,43.5,34.3,52.9,57.2,64.6,72.7,80.1,87.4,91.5,93.1,86.1,75.3,64.1,54.2
"Brockwell, AR",36.1428466,-91.9265383,47.75,0.51,22.8,25.9,33.6,42.2,52.8,60.3,64.3,63.1,54.8,44.1,34.4,25.7,47.8,52.5,61.9,71.7,78.4,85.9,90.4,90.5,82.8,72.6,60.6,49.0
"Gordon, GA",34.5019651,-84.8986308,50.94,0.59,30.3,33.4,40.0,47.5,55.9,64.7,68.6,67.7,60.3,47.7,39.5,32.7,50.7,55.3,63.5,72.3,79.8,87.5,90.2,89.5,83.4,73.9,63.0,53.1
"Inverness, FL",28.8358176,-82.3303715,51.79,0.0,42.4,45.0,49.4,54.1,61.8,69.2,70.9,71.0,68.7,61.0,51.9,44.8,70.5,73.3,77.9,82.9,89.1,91.6,92.2,91.9,90.1,84.9,78.6,72.5
"Livermore, CA",37.6820583,-121.7680531,15.23,0.0,39.0,41.5,43.9,46.0,50.2,54.2,56.8,56.7,54.9,50.0,43.4,39.1,56.1,61.0,65.6,70.7,76.9,83.3,88.9,88.4,85.5,76.9,64.4,56.4
"Prior Lake, MN",44.7133271,-93.4226873,31.85,5.39,7.2,11.4,23.9,37.1,48.9,59.2,63.8,61.3,52.2,39.3,26.5,12.0,23.6,29.1,40.6,57.4,69.7,78.7,83.1,80.6,71.5,58.5,41.3,27.1
"Crescent, OK",35.8830723,-96.3835476,41.35,0.25,25.8,29.6,38.1,46.9,56.3,64.3,68.5,67.2,58.6,47.5,37.5,27.6,48.5,53.8,62.8,71.8,78.2,85.6,91.3,91.5,83.3,72.6,60.6,49.5
"Spiro, OK",35.2412073,-94.619944,51.35,0.4,27.1,31.3,38.8,46.8,57.5,65.4,69.2,68.3,59.3,47.0,37.9,29.2,51.5,56.7,64.9,74.8,81.0,88.4,93.6,94.0,85.9,75.6,64.4,52.6
"Lavonia, GA",34.4359361,-83.106818,53.04,0.06,29.7,31.8,37.3,44.9,53.5,62.6,66.5,66.6,59.4,48.7,38.3,31.6,51.7,55.5,64.2,72.1,77.7,84.2,87.1,86.2,80.5,72.6,63.4,53.1
"Lincoln, AL",33.6131588,-86.1183061,55.55,0.03,31.2,34.1,40.6,48.3,57.5,65.0,69.5,68.6,60.9,49.8,39.5,34.1,54.0,58.0,66.0,74.1,80.9,87.5,90.3,89.9,84.9,75.1,66.2,56.0
"Hardy, AR",39.0040008,-78.8441276,35.28,10.61,17.9,19.4,26.9,36.3,45.8,54.9,58.5,56.9,49.3,38.8,30.7,22.4,40.6,44.2,52.7,63.9,72.8,80.5,84.6,83.6,76.5,66.1,55.7,44.3
"Blanchard, OK",35.1378428,-97.6580904,36.6,0.15,26.6,30.3,38.2,47.1,57.1,65.0,69.7,68.9,60.4,49.4,38.1,28.8,49.9,54.5,63.0,72.1,79.7,87.0,93.3,93.2,84.8,73.8,61.7,50.4
"Haynesville, LA",32.9620847,-93.1401647,52.66,0.08,31.6,34.8,42.3,50.0,59.6,67.0,70.3,69.1,62.3,51.0,41.9,33.6,54.2,58.5,67.0,74.6,81.4,88.0,91.8,92.8,86.1,76.2,65.3,55.8
"Corning, AR",36.4078388,-90.5798336,51.46,0.51,27.3,31.4,40.1,49.6,59.1,67.6,71.0,68.8,60.0,48.8,39.8,30.2,44.0,49.8,59.9,70.7,79.1,87.3,90.3,89.6,82.7,72.0,58.9,46.5
"Junction City, AR",33.015806,-92.71040526827127,56.68,0.08,42.2,45.1,49.5,55.6,64.6,72.6,79.9,79.4,72.6,60.1,48.4,41.1,67.6,71.4,77.7,85.8,95.1,103.7,106.4,104.7,99.8,88.6,75.5,66.1
"Montgomery, NY",41.5275938,-74.236816,44.74,3.42,15.9,18.0,26.3,36.3,45.4,55.5,59.6,59.0,49.6,38.3,30.4,22.1,34.7,38.3,47.2,60.2,70.5,79.6,84.0,82.0,74.3,61.9,50.7,38.8
"Hatboro, PA",40.1746252,-75.106825,47.35,1.16,25.5,27.6,34.0,43.6,53.0,62.5,67.4,65.7,58.0,46.7,38.5,30.0,38.9,42.1,51.0,62.3,72.1,80.8,84.9,82.9,75.5,64.2,54.3,42.7
"Fort Atkinson, WI",42.9288944,-88.8370509,34.15,3.49,10.5,14.5,25.1,36.9,47.1,57.2,61.4,59.2,50.2,38.8,28.6,15.8,27.6,32.1,43.6,57.7,69.2,79.1,82.6,80.6,73.3,60.7,45.9,31.6
"Fountain, CO",38.682219,-104.7008056,12.92,8.57,13.0,14.9,20.6,26.4,34.7,44.5,49.1,47.8,40.3,31.0,21.1,12.1,33.4,36.0,41.7,48.8,59.1,70.0,75.0,71.9,64.6,54.6,42.0,33.1
"Benton Harbor, MI",42.1167065,-86.4541894,36.26,8.47,19.6,21.6,28.3,37.6,47.0,57.1,62.0,60.3,52.9,42.8,34.0,24.1,33.8,36.3,47.0,59.6,69.8,79.6,83.3,81.6,75.2,63.2,49.9,37.3
"Somerdale, NJ",39.8440027,-75.0226691,46.11,1.08,22.9,24.6,31.4,40.2,49.0,59.1,63.9,62.0,54.7,43.6,35.3,27.1,42.8,46.8,56.0,67.1,76.7,85.3,89.1,87.0,80.1,69.0,57.6,46.8
"Huntertown, IN",41.2283821,-85.1724741,39.89,3.67,17.2,19.8,28.1,38.3,48.2,58.2,61.7,60.1,52.3,41.6,32.5,22.0,31.5,35.8,47.8,61.0,71.2,79.8,83.0,81.0,74.9,62.3,48.7,34.9
"Metamora, MI",42.9414173,-83.2891092,32.43,2.76,14.9,15.7,23.5,34.5,45.3,55.2,59.6,57.7,49.7,39.2,30.5,20.9,29.2,32.0,42.5,55.8,67.4,77.1,81.3,79.1,71.7,59.2,46.1,33.9
"Baxter, IA",41.8260998,-93.1515905,35.52,2.81,35.2,40.6,46.7,52.6,62.9,71.7,78.2,76.7,68.1,54.1,42.7,34.2,62.7,67.6,76.1,84.7,94.5,104.0,109.2,107.6,99.9,86.6,71.7,60.9
"Temperance, MI",41.7793387,-83.5688311,35.25,2.76,15.2,16.5,24.6,35.2,45.6,56.6,60.1,57.7,50.1,38.7,30.8,20.3,32.1,35.9,44.7,58.6,70.1,80.4,84.0,81.8,74.8,62.7,49.5,36.0
"Norwalk, OH",41.2425531,-82.6157331,37.94,4.31,18.6,20.5,27.9,38.2,48.8,58.7,62.7,61.0,53.6,42.5,34.0,23.7,33.1,36.2,45.7,58.7,69.5,78.8,82.4,80.9,74.6,62.7,50.1,37.1
"Coldwater, OH",40.4797688,-84.628291,37.72,2.76,19.4,22.1,30.3,40.8,51.2,60.8,63.7,61.8,54.6,44.2,34.6,23.9,32.8,37.5,48.7,62.3,72.2,80.5,83.4,82.0,76.4,64.0,50.1,36.6
"Zephyrhills, FL",28.2336196,-82.1811947,52.08,0.0,48.6,51.2,55.1,59.4,66.0,71.1,72.8,73.0,71.3,65.0,57.3,51.3,71.6,74.2,78.4,83.2,89.0,90.7,91.3,91.1,89.8,85.0,78.9,73.2
"Newcastle, DE",33.1940005,-98.738673,31.51,0.11,24.6,26.8,33.6,43.0,52.6,62.6,67.6,66.1,58.2,46.1,37.4,28.7,40.2,43.5,52.4,63.5,73.0,81.8,86.1,84.2,77.4,66.2,55.7,44.6
"West Seneca, NY",42.83943505,-78.74650290662323,46.91,9.47,18.5,19.2,26.0,36.8,47.4,57.3,62.3,60.8,53.4,42.7,33.9,24.1,31.2,33.3,42.0,55.0,66.5,75.3,79.9,78.4,71.1,59.0,47.6,36.1
"Lovejoy, GA",33.4362245,-84.3143675,48.54,0.04,31.8,35.1,42.0,48.8,57.8,66.3,70.3,69.5,62.9,51.2,42.6,33.9,51.8,55.7,63.6,71.9,80.1,86.9,89.6,88.7,82.3,72.3,62.6,53.4
"York, PA",39.962398,-76.727392,42.05,3.19,21.9,24.0,30.8,40.0,49.4,59.0,63.3,62.0,54.6,43.0,34.8,26.0,40.2,44.3,53.9,66.0,75.5,83.6,87.0,85.3,78.4,67.5,55.4,43.4
"Norton Shores, MI",43.1689044,-86.2639461,32.73,7.98,20.1,21.1,27.0,37.3,46.9,56.6,61.9,61.0,52.8,42.5,34.0,25.3,30.8,33.2,43.0,55.9,66.9,76.0,80.4,78.8,71.3,58.8,46.4,35.1
"Short Hills, NJ",40.7478786,-74.3254271,49.88,2.21,18.3,20.3,28.0,38.1,47.3,57.3,62.4,60.7,52.7,40.2,32.4,23.6,39.1,42.3,50.6,62.4,72.7,81.7,86.3,84.9,77.8,66.2,55.1,43.9
"Lowell, IN",41.2914244,-87.4205903,39.3,2.07,14.4,17.7,27.4,37.9,48.2,58.7,62.4,60.3,52.0,40.2,31.0,19.1,31.2,35.8,47.5,60.8,71.3,80.7,83.8,82.0,76.4,63.6,49.4,35.1
"Armonk, NY",41.1330485,-73.71262371614495,47.74,0.0,19.2,21.8,28.6,38.9,48.4,58.5,63.4,61.8,53.4,41.8,33.6,24.6,35.6,39.6,48.7,61.0,71.9,80.8,84.9,82.5,74.5,62.7,51.3,39.9
"Conley, GA",33.6448311,-84.3257571,48.97,0.04,34.3,37.7,44.1,51.5,60.3,68.2,71.3,70.7,64.8,54.0,44.5,36.5,52.3,56.6,64.6,72.5,79.9,86.4,89.1,88.1,82.2,72.7,63.6,54.0
"Glen Head, NY",40.84348675,-73.62581450092935,49.03,0.0,26.2,27.6,33.9,42.4,51.2,60.7,66.2,65.2,58.2,47.8,39.7,31.2,39.6,42.5,50.2,60.5,70.2,79.5,84.7,83.2,75.9,65.1,55.3,44.7
"Inwood, NY",40.8692579,-73.9204949,44.83,2.57,26.1,28.0,34.2,43.9,53.7,63.5,69.3,68.3,61.1,49.7,41.1,31.6,38.4,42.0,49.8,61.2,71.8,80.6,85.3,83.9,76.4,64.9,54.2,43.4
"Dayton, NJ",40.382304500000004,-74.5170514187837,50.04,4.53,18.9,20.6,27.7,37.2,46.9,56.5,61.5,60.1,52.3,40.5,32.3,23.9,37.2,40.8,49.4,61.4,71.7,80.1,84.6,83.1,76.3,65.1,53.6,41.6
"Whitsett, NC",36.0712466,-79.5644686,44.68,0.41,28.4,30.6,37.9,46.0,54.4,63.9,67.4,66.4,58.8,46.2,37.1,30.2,49.4,53.9,62.4,71.5,79.0,85.9,88.8,87.4,80.8,71.4,62.1,51.9
"Shelbyville, KY",38.2120144,-85.2235666,47.33,1.44,19.7,22.7,29.4,38.3,48.8,58.2,62.3,60.2,51.2,39.7,31.6,23.5,41.1,46.2,56.4,67.3,76.3,84.4,88.3,87.0,80.6,69.3,56.9,44.2
"Sour Lake, TX",30.1402122,-94.4110239,60.42,0.0,41.6,45.1,51.6,58.6,66.7,72.5,74.3,73.6,68.7,59.4,51.0,43.5,61.6,64.7,71.5,78.2,85.1,90.1,92.1,92.8,88.5,81.0,71.7,63.5
"Edgewood, TX",32.6981846,-95.8852438,43.06,0.08,33.7,37.2,44.2,52.3,62.3,69.7,73.0,72.5,65.6,55.1,44.4,35.5,54.5,58.9,66.0,74.5,82.3,89.2,93.7,95.1,88.0,77.6,65.9,56.2
"Murphy, TX",33.0151208,-96.6130478,41.23,0.13,34.2,38.5,45.6,54.3,63.6,70.7,73.9,73.5,66.2,55.1,45.7,36.3,55.5,59.6,66.3,75.0,82.4,89.9,94.3,95.5,88.3,78.5,67.1,56.8
"Satsuma, AL",30.853241,-88.0561106,68.9,0.01,40.4,43.8,49.8,56.7,64.7,71.4,73.7,73.6,69.7,59.1,49.8,43.4,60.0,63.2,69.8,76.1,83.0,88.2,90.4,90.5,87.3,79.4,70.3,61.9
"Nokesville, VA",38.6984987,-77.5800445,42.99,1.52,23.9,25.3,32.3,41.6,53.0,63.1,67.8,66.9,57.5,44.6,35.2,27.5,43.1,46.7,55.7,67.1,75.0,84.4,88.5,86.8,79.7,68.1,58.1,46.6
"Glen Burnie, MD",39.1626298,-76.6250756,42.43,0.8,24.4,26.6,33.5,42.7,52.0,61.9,66.8,65.2,57.6,45.4,36.5,28.1,41.4,44.9,53.6,64.6,73.9,83.0,87.2,85.1,77.9,66.8,56.4,45.3
"Pine Bush, NY",41.6131875,-74.29392993210078,44.74,4.37,15.9,18.0,26.3,36.3,45.4,55.5,59.6,59.0,49.6,38.3,30.4,22.1,34.7,38.3,47.2,60.2,70.5,79.6,84.0,82.0,74.3,61.9,50.7,38.8
"Hamilton Square, NJ",40.2273316,-74.6532133,49.11,2.21,22.2,24.1,31.1,40.2,49.1,58.8,63.7,61.9,54.3,42.8,35.2,26.9,39.4,42.5,50.7,62.0,72.3,81.2,85.7,84.0,77.2,65.8,55.4,44.2
"Comanche, TX",31.9130171,-98.527388,31.28,0.11,31.4,35.3,43.6,51.2,60.6,67.7,70.3,69.8,62.6,52.2,42.6,33.1,59.6,62.9,70.2,78.6,85.3,91.6,95.7,96.6,89.3,80.2,69.6,60.6
"Waskom, TX",32.4787645,-94.0596305,52.19,0.18,33.9,37.5,45.1,52.8,62.2,69.8,73.1,71.9,64.1,52.7,44.3,35.9,55.3,59.6,67.9,75.6,82.6,89.0,92.6,93.6,87.3,76.9,66.0,56.5
"Arkadelphia, AR",34.1209292,-93.053784,58.33,0.31,29.3,33.0,41.1,48.6,58.5,66.3,69.7,68.6,61.2,49.3,40.0,32.0,53.3,57.6,66.7,75.1,81.5,88.4,92.0,92.4,85.7,75.7,64.3,54.8
"Bucksnort, AL",34.5031438,-86.3038729,54.8,0.02,28.3,31.0,38.0,45.7,55.1,63.8,67.7,66.5,59.0,46.8,37.8,30.8,50.3,54.3,62.8,71.7,78.9,86.3,89.2,90.0,84.3,73.8,63.0,52.7
"Seward, NE",40.8695533,-97.1706676,29.27,2.21,12.0,16.4,26.3,38.3,50.4,60.5,65.3,62.7,52.9,39.4,26.4,14.6,34.4,39.1,50.2,62.7,73.0,82.8,87.2,85.3,77.8,65.3,49.3,35.6
"Horton, KS",39.6597257,-95.5253708,36.89,1.78,17.6,21.7,31.5,42.5,53.0,62.6,67.2,65.3,56.0,43.9,32.0,20.2,37.3,42.7,54.2,65.7,75.0,83.3,88.2,87.1,79.2,67.0,52.0,38.9
"Ridgeley, WV",39.6414767,-78.7744632,47.27,1.52,22.4,23.9,31.6,41.1,51.1,60.4,64.8,63.3,54.8,43.0,34.2,26.5,41.4,45.6,55.8,68.0,76.5,84.7,88.7,87.5,80.0,69.0,56.6,44.7
"Jacobsburg, OH",39.9650725,-80.9042594,43.8,1.95,21.5,23.1,30.2,39.6,49.4,58.7,63.0,62.1,53.9,42.4,33.7,25.8,39.0,42.7,52.3,64.8,73.6,82.0,85.4,84.6,77.6,66.1,54.5,42.5
"Ooltewah, TN",35.072036,-85.08885976005197,46.67,0.0,30.7,34.0,40.7,48.3,57.3,65.8,69.7,69.2,61.8,49.9,40.2,33.1,50.2,54.8,63.7,72.7,79.9,87.1,90.2,89.6,83.2,73.1,62.3,52.1
"Scituate, MA",42.1939754,-70.7697128,51.07,3.79,16.3,19.3,26.5,36.3,45.8,55.2,60.7,59.4,51.1,39.7,31.7,22.2,34.4,38.0,46.3,58.1,68.7,77.0,82.1,80.7,72.7,61.3,50.8,39.6
"Buffalo Grove, IL",42.1675825,-87.95564020833334,36.55,3.34,16.6,20.4,28.9,37.6,47.5,57.8,63.8,63.1,54.3,42.6,32.0,20.9,30.8,35.2,46.1,57.9,69.1,79.0,83.3,81.5,74.3,61.7,48.1,35.1
"The Plains, OH",39.3700911,-82.1323674,38.64,2.48,20.6,22.8,30.2,39.3,48.8,58.5,62.8,61.3,53.0,41.2,32.7,25.0,37.4,41.6,51.8,64.0,72.1,80.0,82.9,82.2,75.6,64.7,53.0,41.0
"Leawood, KS",38.966673,-94.6169012,40.73,1.78,19.9,23.5,32.6,43.5,54.9,64.1,69.1,66.9,57.7,46.6,34.3,22.8,38.7,44.1,54.9,64.9,74.3,82.8,87.8,87.0,79.0,67.5,53.8,40.7
"Trinity, TX",31.0834452,-95.1219348,57.98,0.02,35.1,38.1,44.1,52.4,61.0,68.1,70.9,70.7,64.2,53.4,44.0,36.1,59.4,62.4,69.8,77.4,83.6,89.8,92.9,93.9,88.4,79.9,69.7,60.0
"Mayfield, KY",36.7413624,-88.6352595,49.04,0.89,27.4,30.8,38.1,46.6,55.8,64.8,68.8,67.1,59.4,47.7,38.9,29.9,46.3,51.8,61.5,71.3,78.6,86.1,89.1,89.2,83.0,72.5,60.6,48.1
"Glasgow, KY",36.9958841,-85.9119215,52.87,0.92,26.0,28.5,36.0,44.9,54.7,63.5,67.5,65.9,58.4,47.0,37.8,28.9,46.9,51.6,61.3,71.9,80.0,88.2,91.7,91.2,84.7,73.9,62.3,50.0
"Dunnville, KY",37.2000709,-85.0099547,52.68,1.38,25.5,27.7,37.0,44.5,53.6,62.0,64.9,63.6,56.4,44.5,37.3,28.9,43.3,47.9,58.9,67.8,75.3,81.9,85.4,85.7,79.2,68.4,57.7,46.0
"Castaic, CA",34.4888822,-118.6228656,17.6,0,44.0,43.7,46.3,49.1,52.8,56.8,62.0,64.1,61.8,55.0,48.3,44.3,62.7,64.7,69.0,73.6,80.2,86.0,93.8,95.0,89.7,79.6,69.7,61.8
"Greenbelt, MD",39.004607,-76.8756838,47.27,1.36,23.7,26.1,33.5,42.5,52.4,62.3,66.9,65.5,57.7,45.1,36.3,27.9,42.2,45.4,53.8,64.9,74.4,83.6,87.7,86.1,79.0,67.7,57.3,46.0
"Cutler, OH",39.354241,-81.790134,41.95,1.95,23.8,25.3,32.2,41.8,51.6,61.0,65.5,63.8,56.1,44.0,35.7,27.6,40.4,44.3,54.1,66.5,75.3,83.7,86.9,86.2,79.4,67.4,55.8,44.0
"Baldwin, MI",43.901123,-85.851729,34.56,3.95,12.7,13.4,20.5,32.3,42.5,52.0,56.4,54.1,45.8,36.3,28.3,18.5,30.1,33.3,43.6,57.5,69.5,78.4,82.9,80.6,72.5,59.5,45.8,33.9
"Bremen, IN",41.4464361,-86.1480581,39.41,2.64,13.9,16.7,25.1,35.9,46.2,56.0,60.3,58.0,50.3,38.9,29.8,19.0,31.9,36.1,47.0,60.1,70.7,79.5,83.3,81.3,75.0,62.6,49.3,36.2
"South Bend, IN",41.6833813,-86.2500066,41.56,2.64,17.6,20.5,28.4,38.6,48.6,58.7,63.1,61.7,53.7,42.6,33.3,22.4,31.3,35.1,46.5,59.5,70.0,79.4,82.9,80.9,74.0,61.7,48.2,35.2
"Plainfield, IN",39.7042123,-86.3994387,43.54,2.79,20.5,23.9,32.8,42.7,52.6,62.1,65.8,64.4,56.2,44.7,35.1,24.4,35.6,40.2,51.7,63.4,72.8,81.9,85.0,84.0,77.6,65.3,52.2,38.9
"Carpentersville, IL",42.1211364,-88.2578582,38.17,2.71,13.4,17.0,26.5,37.4,47.6,57.6,62.9,61.0,52.1,40.1,30.3,17.9,29.8,34.2,45.8,59.1,70.0,80.0,83.7,82.0,75.0,62.6,47.7,33.8
"Watchung, NJ",40.6378801,-74.4509863,50.28,1.79,23.0,25.2,31.8,41.0,50.3,60.0,65.3,63.7,56.1,44.5,36.3,27.8,39.3,43.0,52.4,63.9,73.9,82.5,86.9,85.2,77.9,65.7,54.7,43.3
"Mcsherrystown, PA",39.8073216,-77.0113699,43.13,3.19,18.9,20.3,28.3,36.8,47.7,58.4,62.2,61.0,52.1,41.2,31.0,23.2,38.2,41.3,50.8,62.6,73.6,83.1,87.5,85.8,77.3,65.8,54.5,43.3
"Cumberland, MD",39.6526498,-78.762383,47.27,1.52,22.4,23.9,31.6,41.1,51.1,60.4,64.8,63.3,54.8,43.0,34.2,26.5,41.4,45.6,55.8,68.0,76.5,84.7,88.7,87.5,80.0,69.0,56.6,44.7
"Minster, OH",40.3931033,-84.3760612,39.82,1.8,19.4,22.1,30.3,40.8,51.2,60.8,63.7,61.8,54.6,44.2,34.6,23.9,32.8,37.5,48.7,62.3,72.2,80.5,83.4,82.0,76.4,64.0,50.1,36.6
"Old Hickory, TN",36.2597132,-86.6480884,52.07,0.46,24.6,27.4,35.6,44.6,54.4,63.2,65.8,64.9,57.5,45.1,37.5,27.8,43.9,49.5,58.7,68.3,76.9,84.7,86.4,87.1,81.2,70.2,58.7,46.4
"Danville, OH",40.4456705,-82.2602977,41.44,1.75,16.0,17.8,25.5,34.7,44.9,54.7,58.5,56.5,48.4,36.7,29.5,20.9,34.2,38.2,48.5,61.0,70.5,79.5,83.1,82.1,75.4,63.5,51.3,38.5
"Richmond, IN",39.8286897,-84.8898521,42.85,1.55,19.0,22.0,30.1,40.2,50.2,59.2,62.6,61.1,53.1,42.0,33.2,22.9,35.5,39.8,50.7,63.1,72.7,81.5,84.6,83.2,76.9,64.9,51.9,38.7
"Lagrange, IL",41.6372578,-85.4216948,38.98,3.34,15.7,18.0,26.1,36.9,47.9,57.6,61.2,59.6,51.7,40.8,31.4,21.1,30.5,34.3,45.6,59.0,69.5,79.4,82.6,80.8,74.3,61.6,48.1,34.8
"Park Hills, KY",39.0714491,-84.5321652,46.17,1.59,22.4,24.9,32.6,41.9,51.5,60.5,64.7,63.2,55.1,43.3,34.3,25.9,40.1,44.7,54.7,66.1,74.9,83.0,86.6,85.8,79.2,67.6,55.5,43.2
"Goffstown, NH",43.020445,-71.600257,46.71,6.88,11.1,13.7,22.3,32.6,43.7,53.2,57.9,56.1,48.0,36.6,28.8,17.7,30.4,33.7,42.0,54.9,66.1,74.1,79.1,77.4,69.9,57.9,46.7,35.2
"Phoenix, NY",43.231179,-76.300764,43.01,10.66,12.0,13.0,22.1,33.8,45.1,54.4,58.5,57.1,48.4,39.5,30.8,21.0,30.1,33.3,42.2,54.8,67.3,76.1,80.6,78.9,71.5,58.8,47.5,36.7
"Franklin, MA",42.0834313,-71.396725,51.06,3.68,17.3,19.8,26.6,35.5,44.6,54.3,60.2,59.2,50.9,39.5,31.9,22.8,36.6,39.4,46.7,57.1,67.7,76.7,82.1,80.6,73.0,62.1,52.1,41.4
"Everett, MA",42.40843,-71.0536625,49.69,5.54,22.2,24.7,31.1,40.6,49.9,59.5,65.4,64.6,57.4,46.5,38.0,28.2,35.8,38.7,45.4,55.6,66.0,75.9,81.4,79.6,72.4,61.4,51.5,41.2
"Amherst, MA",42.3685658,-72.505714,49.83,4.73,13.2,15.9,24.3,34.5,44.7,54.6,59.2,57.6,49.2,37.5,29.6,19.9,33.1,37.1,45.3,58.3,69.2,77.6,82.2,80.7,73.3,61.5,49.4,37.9
"Wellesley, MA",42.2964859,-71.2925571,49.69,5.54,15.8,18.7,25.4,35.1,45.6,55.3,60.6,58.8,50.4,38.5,30.7,21.4,34.6,38.2,46.3,57.9,67.9,76.8,82.0,80.6,72.7,61.4,51.2,39.7
"Allison Park, PA",40.5584013,-79.9581094,38.49,2.82,20.0,21.2,28.1,38.6,49.5,58.8,63.4,61.6,54.6,42.2,33.4,24.6,36.6,40.3,49.7,62.3,71.4,79.6,82.9,82.1,75.3,63.7,52.2,40.2
